BNF_CODE,CHEMICAL_SUBSTANCE_BNF_DESCR,BNF_DESCRIPTION,BNF_CHAPTER_PLUS_CODE
0905013A0AAAEAE,Magnesium aspartate,Magnesium aspartate (magnesium 10mmol) granules sachets,09: Nutrition and Blood
1001010J0AABRBR,Ibuprofen,Ibuprofen 200mg/5ml oral suspension sugar free,10: Musculoskeletal and Joint Diseases
1104010W0AAAAAA,Loteprednol etabonate,Loteprednol 0.5% eye drops,11: Eye
1307000Q0AAACAC,Silver nitrate,Silver nitrate 75% caustic applicators,13: Skin
20030600310,Wound Management & Other Dressings,Advazorb dressing 10cm x 10cm square,20: Dressings
20031700311,Wound Management & Other Dressings,Zetuvit Plus dressing 20cm x 40cm,20: Dressings
20090001035,Stockinette,Comfifast MultiStretch 2-way stretch stockinette 10.75cm,20: Dressings
21012600128,Other Appliances,"Balance ring pessary size 4, 70mm diameter, silicone with support/folding",21: Appliances
21020001470,Catheters,VaPro Plus Pocket catheter male 8Ch-16Ch,21: Appliances
21140000010,Lubricant Gels,Cathejell Mono,21: Appliances
21300000160,Eye Products,Carmellose 0.5% eye drops 0.4ml unit dose pf (Medicom),21: Appliances
22303953120,Incontinence Sheaths,Clear Advantage Spirit sheath style 1 standard 28mm,22: Incontinence Appliances
22605056001,Night Drainage Bags,Careline E2 non-drainable night drainage bag,22: Incontinence Appliances
22900759014,Urinal Systems,Beambridge bed bottle closed end,22: Incontinence Appliances
23150101504,Adhesive Removers (Sprays/Liquids/Wipes),Adapt No-Sting medical adhesive remover aerosol,23: Stoma Appliances
23851008520,Skin Protectors,Brava protective seal 27-57mm 4.2mm,23: Stoma Appliances
23944809537,Two Piece Ostomy Systems,"Combihesive Natura two piece ostomy system urostomy bag with Accuseal tap, standard 38mm opaque",23: Stoma Appliances
0103010D0AAAAAA,Cimetidine,Cimetidine 200mg tablets,01: Gastro-Intestinal System
0105020A0AAADAD,Budesonide,Budesonide 2mg foam enema,01: Gastro-Intestinal System
0205051Z0BBAAAA,Perindopril arginine with diuretic,Coversyl Arginine Plus 5mg/1.25mg tablets,02: Cardiovascular System
0206020A0AAATAT,Amlodipine,Amlodipine 10mg/5ml oral solution sugar free,02: Cardiovascular System
0206020T0BHAAAH,Verapamil hydrochloride,Verapress MR 240mg tablets (Dexcel-Pharma),02: Cardiovascular System
0206020T0BMACAH,Verapamil hydrochloride,Vera-Til SR 240mg tablets (Accord Healthcare Ltd),02: Cardiovascular System
0301040X0AAABAB,Tiotropium bromide/olodaterol,Tiotropium brom 2.5microg/Olodaterol 2.5microg/dose soln,03: Respiratory System
0302000K0AAAJAJ,Budesonide,Budesonide 500micrograms/2ml neb liq unit dose vials,03: Respiratory System
0302000K0AAAVAV,Budesonide,Budesonide 200microg/dose dry pdr inhalation cart with dev,03: Respiratory System
0402030K0BBABAF,Lithium carbonate,Camcolit 400 modified-release tablets,04: Central Nervous System
0403010X0AAANAN,Trazodone hydrochloride,Trazodone 100mg/5ml oral solution sugar free,04: Central Nervous System
0403010X0AAAQAQ,Trazodone hydrochloride,Trazodone 100mg tablets,04: Central Nervous System
0404000S0AAAAAA,Atomoxetine hydrochloride,Atomoxetine 10mg capsules,04: Central Nervous System
0407010B0AAAFAF,Aspirin,Aspirin 300mg tablets,04: Central Nervous System
0407041Z0BBACAC,Zolmitriptan,Zomig 5mg/0.1ml nasal spray 0.1ml unit dose,04: Central Nervous System
0603020J0BFAACX,Hydrocortisone,Alkindi 0.5mg granules in capsules for opening,06: Endocrine System
0603020J0BFABCY,Hydrocortisone,Alkindi 1mg granules in capsules for opening,06: Endocrine System
0603020J0BFACCZ,Hydrocortisone,Alkindi 2mg granules in capsules for opening,06: Endocrine System
0901020D0BKAAAH,Cyanocobalamin,CyanocoB12 1mg modified-release tablets,09: Nutrition and Blood
0902021X0AAAEAE,Water for injection,Water for injections 20ml ampoules,09: Nutrition and Blood
090501100BBCBAD,Other calcium supplement preparations,Calvive 1000 effervescent tablets,09: Nutrition and Blood
0906040G0AACNCN,Colecalciferol,"Colecalciferol 5,000unit tablets",09: Nutrition and Blood
0906040G0AACVCV,Colecalciferol,"Colecalciferol 40,000unit capsules",09: Nutrition and Blood
0906040G0CHAHDZ,Colecalciferol,"Aciferol D3 30,000unit capsules",09: Nutrition and Blood
0906050U0BBAAAA,Tocofersolan,Vedrop 50mg/ml oral solution,09: Nutrition and Blood
1001022K0BBAAAA,Methylprednisolone acetate,Depo-Medrone 40mg/1ml suspension for injection vials,10: Musculoskeletal and Joint Diseases
1201010E0BBAAAB,Betamethasone sodium phosphate,Betnesol-N ear/eye/nose drops,"12: Ear, Nose and Oropharynx"
1304000D0AABDBD,Betamethasone esters,Betamethasone diprop 0.05%/Salicylic acid 2% scalp applic,13: Skin
1304000G0AACACA,Clobetasol propionate,"Clobetasol 500microg/Neomycin 5mg/Nystatin 100,000unit/g crm",13: Skin
1306010H0BBABAB,Adapalene,Differin 0.1% cream,13: Skin
131002030AAACAC,Terbinafine hydrochloride,Terbinafine 1% gel,13: Skin
20030900035,Wound Management & Other Dressings,Mepilex Lite dressing 6cm x 8.5cm,20: Dressings
21020000826,Catheters,InstantCath catheter female 10Ch-14Ch,21: Appliances
21020001494,Catheters,Liquick X-treme catheter male 10Ch-16Ch,21: Appliances
23056500500,Adhesive Discs/Rings/Pads/Plasters,Genii flange extender,23: Stoma Appliances
23153361508,Adhesive Removers (Sprays/Liquids/Wipes),Lift medical adhesive remover sachets,23: Stoma Appliances
23350103731,Colostomy Bags,"Moderma Flex convex colostomy bag with filter, maxi 15-51mm beige",23: Stoma Appliances
23350103776,Colostomy Bags,"Moderma Flex soft convex colostomy bag with filter, maxi 25mm",23: Stoma Appliances
23350703851,Colostomy Bags,NovaLife TRE 1 colostomy bag maxi 15-70/90mm,23: Stoma Appliances
23600706326,Ileostomy Bags,Nova 1 Convex EasiFold ileostomy bag with filter clear 15-37mm,23: Stoma Appliances
23600706472,Ileostomy Bags,NovaLife TRE 1 soft convex ileostomy bag midi 15-34mm,23: Stoma Appliances
23960109705,Urostomy Bags,Impression C urostomy bag 29mm,23: Stoma Appliances
23960109838,Urostomy Bags,"Moderma Flex soft convex urostomy bag + CeraPlus skin barrier, adh border & enhanced tap 15-38mm",23: Stoma Appliances
0206030N0BBABAB,Nicorandil,Ikorel 20mg tablets,02: Cardiovascular System
0407041T0BBAGAG,Sumatriptan succinate,Imigran 20mg nasal spray,04: Central Nervous System
0603020M0AAAAAA,Hydrocortisone sodium succinate,Hydrocortisone sodium succinate 100mg inj vials,06: Endocrine System
0605010S0BBAMAW,Somatropin,Genotropin MiniQuick 600microgram inj pf dispos dev,06: Endocrine System
0904010F0BGAEAA,Gluten free/low protein bread,Mevalia low protein pizza base,09: Nutrition and Blood
0904010K0AAAFAF,Glucose,Glucose tablets,09: Nutrition and Blood
0904010T0BIAAAD,Gluten free/low protein pasta,Mevalia low protein penne,09: Nutrition and Blood
0904010T0BIABAD,Gluten free/low protein pasta,Mevalia low protein spaghetti,09: Nutrition and Blood
0904010T0BIACAD,Gluten free/low protein pasta,Mevalia low protein fusilli,09: Nutrition and Blood
090402000BBTXA0,Enteral nutrition,Nutrison 800 Complete Multi Fibre liquid,09: Nutrition and Blood
0905013G0AADEDE,Magnesium glycerophosphate,Magnesium glycerophos (magnesium 97.2mg (4mmol)) chew tab SF,09: Nutrition and Blood
1001010X0AAAAAA,Nabumetone,Nabumetone 500mg tablets,10: Musculoskeletal and Joint Diseases
1003020P0BCAFAI,Ibuprofen,Ibuleve Maximum Strength 10% gel,10: Musculoskeletal and Joint Diseases
1201010B0BBAAAF,Acetic acid,EarCalm 2% spray,"12: Ear, Nose and Oropharynx"
1202010Z0AAAAAA,Mometasone furoate/olopatadine hydrochloride,Mometasone 25microg / Olopatadine 600microg/dose nsl spy,"12: Ear, Nose and Oropharynx"
20030900449,Wound Management & Other Dressings,Tegaderm Silicone Foam Border dressing 10cm x 10cm,20: Dressings
20100000542,Surgical Adhesive Tape,Scanpor tape 2.5cm,20: Dressings
21012600102,Other Appliances,Unifine SafeControl Safety Pen insulin needles for pf / reusable pen injectors screw on 5mm/30 gauge,21: Appliances
21060100110,Trusses,Spring truss inguinal single left/right,21: Appliances
21120000121,Peak Flow Meters,Peak flow meter low range,21: Appliances
21320000113,Inhalation Solutions,Salineb 7% inhalation solution 4ml vials,21: Appliances
22306153008,Incontinence Sheaths,Ugo self adhesive sheath pop on 30mm,22: Incontinence Appliances
22306153044,Incontinence Sheaths,Prosys FloPack kit standard 28mm,22: Incontinence Appliances
22801008012,Tubing And Accessories,Simpla G-Strap abdominal,22: Incontinence Appliances
22902959002,Urinal Systems,URIbag F pocket sized female urinal,22: Incontinence Appliances
23050900504,Adhesive Discs/Rings/Pads/Plasters,UltraFrame flange extender,23: Stoma Appliances
23351003860,Colostomy Bags,"SenSura Mio light convex colostomy bag with filter, maxi starter hole 15-33mm",23: Stoma Appliances
23355603790,Colostomy Bags,"Welland FreeStyle Vie colostomy bag with Dual Carb filter, large 32mm beige",23: Stoma Appliances
23601006371,Ileostomy Bags,"SenSura Mio light convex ileostomy bag with filter, maxi 15-33mm",23: Stoma Appliances
23601006387,Ileostomy Bags,"SenSura Mio high output ileostomy bag with filter, extra large 10-70mm grey",23: Stoma Appliances
23804108014,Skin Fillers And Protectives,Salts barrier film foam 1ml applicator,23: Stoma Appliances
23941010085,Two Piece Ostomy Systems,"SenSura Mio Click 2 piece ostomy system high output ileo bag+filter & wide outlet, XXXlge 70mm grey",23: Stoma Appliances
23941010096,Two Piece Ostomy Systems,"SenSura Mio Flex two piece ostomy system high output ileostomy bag with filter, XX large 50mm grey",23: Stoma Appliances
23941010107,Two Piece Ostomy Systems,SenSura Mio Concave Click two piece ostomy system baseplate 70mm 10-65mm,23: Stoma Appliances
23963459615,Urostomy Bags,Pelican Select convex urostomy bag 12-40mm,23: Stoma Appliances
0103050E0BDAAAF,Esomeprazole,Ventra 20mg gastro-resistant capsules,01: Gastro-Intestinal System
0103050E0BDABAG,Esomeprazole,Ventra 40mg gastro-resistant capsules,01: Gastro-Intestinal System
0105010B0BDALBC,Mesalazine (Systemic),Salofalk 1g gastro-resistant tablets,01: Gastro-Intestinal System
0212000F0BBACAE,Colestyramine,Questran Light 4g oral powder sachets,02: Cardiovascular System
0301011V0AAADAD,Terbutaline sulphate,Terbutaline 5mg/2ml nebuliser liquid unit dose vials,03: Respiratory System
0302000C0BTABBV,Beclometasone dipropionate,Soprobec 200micrograms/dose inhaler,03: Respiratory System
0402030Q0BDAAAB,Valproic acid,Syonell 500mg gastro-resistant tablets,04: Central Nervous System
0404000M0BIAEAT,Methylphenidate hydrochloride,Xenidate XL 27mg tablets,04: Central Nervous System
0407020A0BRAKAU,Fentanyl,Opiodur 12micrograms/hour transdermal patches (Zentiva),04: Central Nervous System
0408010AEAAAXAX,Pregabalin,Pregabalin 75mg tablets,04: Central Nervous System
0501070I0BCAAAD,Colistimethate sodium,Promixin 1million unit pdr for neb soln unit dose vials,05: Infections
0604020K0BQAABR,Testosterone,Testavan 20mg/g transdermal gel,06: Endocrine System
0605010S0BCAFBR,Somatropin,Saizen 12mg/1.5ml solution for injection cartridges,06: Endocrine System
0702010G0BFAAAG,Estradiol,Vagirux 10microgram vaginal tablets,"07: Obstetrics, Gynaecology and Urinary-Tract Disorders"
0704030G0AAACAC,Potassium citrate,Potassium citrate 1.5g / Citric acid 250mg efferv tab SF,"07: Obstetrics, Gynaecology and Urinary-Tract Disorders"
090401000BBPYA0,Other food for special diet preparations,S.O.S25 oral powder 52g sachets,09: Nutrition and Blood
090401000BBYKA0,Other food for special diet preparations,Vital 1.5kcal tube feed liquid vanillia,09: Nutrition and Blood
0904010ASBBABAA,Low protein cakes,Taranis low protein apricot cake,09: Nutrition and Blood
0904010ASBBACAA,Low protein cakes,Taranis low protein pear cake,09: Nutrition and Blood
0904010T0BGAAAD,Gluten free/low protein pasta,Promin low protein tricolour pasta spirals,09: Nutrition and Blood
0904010T0BGABAD,Gluten free/low protein pasta,Promin low protein pasta spirals,09: Nutrition and Blood
0904010X0BIABAA,Low protein breads,Promin low protein fresh baked bread sliced,09: Nutrition and Blood
0904010X0BIADAA,Low protein breads,Promin low protein fresh baked brown bread sliced,09: Nutrition and Blood
1304000N0BBAAAB,Fluocinolone acetonide,Synalar 0.025% cream,13: Skin
1307000Q0AAABAB,Silver nitrate,Silver nitrate 40% caustic pencils,13: Skin
20030100569,Wound Management & Other Dressings,Dressfilm dressing 15cm x 20cm,20: Dressings
20030400178,Wound Management & Other Dressings,Comfeel Plus Transparent dressing 5cm x 7cm rectangular,20: Dressings
20031700111,Wound Management & Other Dressings,Aquacel Ag Extra dressing 10cm x 10cm square,20: Dressings
20050500021,Tracheostomy & Laryngectomy Appliances,FreeVent neckband 2 piece small,20: Dressings
21020001498,Catheters,Aloe Hydro Plus catheter male 10Ch-16Ch,21: Appliances
21200000030,Venous Ulcer Compression System,Activa Leg Ulcer Hosiery Kit (40mmHg) medical stocking and compression liner small,21: Appliances
21200000034,Venous Ulcer Compression System,Activa Leg Ulcer Hosiery Kit (40mmHg) medical stocking and compression liner XX large,21: Appliances
21200000113,Venous Ulcer Compression System,Altipress compression liner regular extra large,21: Appliances
21300000149,Eye Products,Carmize 1% eye drops,21: Appliances
22902199015,Urinal Systems,Afex Sedentary male urinal system with extra large briefs,22: Incontinence Appliances
23301083034,Belts,Fulciolite female high waist support briefs right size 14,23: Stoma Appliances
23354103835,Colostomy Bags,"Confidence BE colostomy bag with filter and overlap, standard 35mm white",23: Stoma Appliances
23601006291,Ileostomy Bags,"Assura Inspire Soft Seal convex ileostomy bag with Hide-Away outlet, maxi soft cover 28mm",23: Stoma Appliances
23851008500,Skin Protectors,Brava Coloplast protective sheet 10cm x 10cm,23: Stoma Appliances
0103050E0BCAAAF,Esomeprazole,Emozul 20mg gastro-resistant capsules,01: Gastro-Intestinal System
0106040M0BGAAAA,Macrogol 3350,CosmoCol Orange Lemon and Lime oral powder sachets,01: Gastro-Intestinal System
0107020J0AAAFAF,Hydrocortisone,Cinchocaine 5mg / Hydrocortisone 5mg suppositories,01: Gastro-Intestinal System
040201060BBAFAF,Olanzapine,Zyprexa 10mg Velotabs,04: Central Nervous System
0403010L0AAACAC,Doxepin,Doxepin 50mg capsules,04: Central Nervous System
0407020B0AAAFAF,Buprenorphine,Buprenorphine 52.5micrograms/hour transdermal patches,04: Central Nervous System
0411000D0BBABAB,Donepezil hydrochloride,Aricept 10mg tablets,04: Central Nervous System
0501013K0AAAKAK,Co-amoxiclav (Amoxicillin/clavulanic acid),Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free,05: Infections
0501013K0BBAKAG,Co-amoxiclav (Amoxicillin/clavulanic acid),Augmentin 250/62 SF oral suspension,05: Infections
0501130H0BBAAAA,Methenamine hippurate,Hiprex 1g tablets,05: Infections
0502050B0AAABAB,Griseofulvin,Griseofulvin 125mg tablets,05: Infections
0601011R0BEAAAE,Insulin human,Humulin R KwikPen 500units/ml inj 3ml pre-filled pens,06: Endocrine System
0604012W0AAAAAA,Dienogest,Dienogest 2mg tablets,06: Endocrine System
0605010S0BBAQAH,Somatropin,Genotropin MiniQuick 1mg inj pre-filled disposable devices,06: Endocrine System
0605010S0BBARBC,Somatropin,Genotropin MiniQuick 1.2mg inj pre-filled disposable devices,06: Endocrine System
0702020F0AAALAL,Clotrimazole,Clotrimazole 10% cream and Clotrimazole 2% cream,"07: Obstetrics, Gynaecology and Urinary-Tract Disorders"
0901020D0BIAAAH,Cyanocobalamin,CyanocoMinn 1mg modified-release tablets,09: Nutrition and Blood
090401000BBMZA0,Other food for special diet preparations,Fortijuce Starter Pack liquid,09: Nutrition and Blood
090401000BBRJA0,Other food for special diet preparations,Calogen Extra Shots emulsion (2 flavours),09: Nutrition and Blood
090401030BFAAAK,Gluten free mixes,Glutafin gluten free Select multipurpose fibre mix,09: Nutrition and Blood
090401030BFAGAK,Gluten free mixes,Glutafin gluten free Select fibre bread mix,09: Nutrition and Blood
090402000BBVNA0,Enteral nutrition,Ensure Shake oral powder 57g sachets banana,09: Nutrition and Blood
0906040G0AAERER,Colecalciferol,Colecalciferol 400unit chewable tablets,09: Nutrition and Blood
1002020C0AABGBG,Baclofen,Baclofen 10mg/5ml oral solution sugar free,10: Musculoskeletal and Joint Diseases
1106000I0AAABAB,Betaxolol,Betaxolol 0.25% eye drops,11: Eye
1203040E0AAAAAA,Chlorhexidine gluconate,Chlorhexidine 1% dental gel sugar free,"12: Ear, Nose and Oropharynx"
130201000BBLDA0,Other emollient preparations,Aveeno moisturising creamy oil,13: Skin
1304000F0BGABBA,Betamethasone valerate,Audavate 0.1% ointment,13: Skin
1304000N0AAABAB,Fluocinolone acetonide,Fluocinolone acetonide 0.025% cream,13: Skin
1309000C0AABCBC,Coal tar,Coal tar 4% shampoo,13: Skin
1310020A0BCAAAA,Amorolfine hydrochloride,Curanail 5% medicated nail lacquer,13: Skin
191300000BMCIA0,Other cordial/soft drink preparations,Resource Thickened Drink custard (2 flavours),19: Other Drugs and Preparations
1307000M0AABMBM,Salicylic acid,Salicylic acid 26% gel,13: Skin
1309000H0AAALAL,Minoxidil,Minoxidil 5% foam,13: Skin
1310020U0AAAEAE,Nystatin,"Nystatin 100,000units/g / Chlorhexidine hydrochloride 1% crm",13: Skin
1310020U0BCAAAE,Nystatin,Nystaform cream,13: Skin
1311040K0AAAKAK,Iodine compounds,Povidone-Iodine 7.5% surgical scrub solution,13: Skin
1404000G0BEAEAE,Hepatitis B,HBVAXPRO 10micrograms/1ml vacc inj pre-filled syringes,14: Immunological Products and Vaccines
1502010I0BCABAC,Lidocaine,Xylocaine 10mg/dose spray,15: Anaesthesia
1502010J0AABQBQ,Lidocaine hydrochloride,Lidocaine 2% and Chlorhexidine gel,15: Anaesthesia
1502010J0BSAAEL,Lidocaine hydrochloride,Versatis 700mg medicated plasters,15: Anaesthesia
22303953081,Incontinence Sheaths,Freedom Transfix sheath style 1 29mm,22: Incontinence Appliances
23153361513,Adhesive Removers (Sprays/Liquids/Wipes),Lift Plus Citrus medical adhesive remover sachets,23: Stoma Appliances
23301083071,Belts,Fulcionel AR ostomy belt small 26cm,23: Stoma Appliances
23600106274,Ileostomy Bags,"Moderma Flex convex ileostomy bag + filter, SoftFlex skin barrier & Lock 'n' Roll closure, maxi 25mm",23: Stoma Appliances
23600106364,Ileostomy Bags,"Moderma Flex soft convex ileo bag+fltr, CeraPlus s/barr, adh bdr & Lock 'n' Roll, midi 15-38mm trans",23: Stoma Appliances
0103050L0AAAYAY,Lansoprazole,Lansoprazole 30mg/5ml oral suspension,01: Gastro-Intestinal System
0403030E0AAAPAP,Fluoxetine hydrochloride,Fluoxetine 10mg tablets,04: Central Nervous System
0407020ADBEAGAS,Oxycodone hydrochloride,Longtec 15mg modified-release tablets,04: Central Nervous System
0601012V0AAAEAE,Insulin glargine,Insulin glargine 300units/ml inj 1.5ml pf dispos dev,06: Endocrine System
090401000BBKIA0,Other food for special diet preparations,Energivit powder,09: Nutrition and Blood
0904010V0BGAAAD,Gluten free/low protein grains/flours,Mevalia low protein rice replacer,09: Nutrition and Blood
0904010W0BJAAAE,Low protein biscuits,Mevalia low protein chocotino bars,09: Nutrition and Blood
0904010Z0BJACAA,Gluten free/low protein biscuits,Mevalia low protein fruit bar,09: Nutrition and Blood
090402000BBWGA0,Enteral nutrition,Fresubin 2kcal Creme dessert cappuccino,09: Nutrition and Blood
20050400103,Tracheostomy & Laryngectomy Appliances,Trachi-Dress F tracheostomy dressing small 60mm x 80mm,20: Dressings
20050500003,Tracheostomy & Laryngectomy Appliances,Trachi-Hold tracheostomy tube holder adult,20: Dressings
20050600119,Tracheostomy & Laryngectomy Appliances,Provox Life Night adhesive,20: Dressings
20050600121,Tracheostomy & Laryngectomy Appliances,Provox Life Sensitive adhesive oval,20: Dressings
21020000879,Catheters,SpeediCath catheter female 16Ch,21: Appliances
21270000921,Lymphoedema Garments,Sigvaris Essential Coton (15-20mmHg) below knee closed toe,21: Appliances
21280000124,Anal Irrigation System,Aquaflush anal irrigation system extension tubes,21: Appliances
21280000163,Anal Irrigation System,Aquaflush self retaining catheter system refill pack,21: Appliances
21280000175,Anal Irrigation System,Peristeen Plus anal irrigation system rectal catheters small,21: Appliances
22800508008,Tubing And Accessories,Urisleeve leg bag holder medium,22: Incontinence Appliances
23350703681,Colostomy Bags,Nova colostomy bag clear 30mm,23: Stoma Appliances
23351003850,Colostomy Bags,"SenSura Mio soft convex colostomy bag with filter, maxi soft cover 15-33mm",23: Stoma Appliances
23355903599,Colostomy Bags,"Pelican ModaVi colostomy bag with filter, medium 12-65mm black",23: Stoma Appliances
23600706285,Ileostomy Bags,Nova 1 EasiFold ileostomy bag with filter clear 15-60mm,23: Stoma Appliances
23601006350,Ileostomy Bags,"SenSura Mio ileostomy bag with filter, mini 10-45mm",23: Stoma Appliances
23941010052,Two Piece Ostomy Systems,SenSura Mio Click two piece ostomy system light convex baseplate 50mm 21mm,23: Stoma Appliances
0206020F0BIABAC,Felodipine,Vascalpha 10mg modified-release tablets (Accord),02: Cardiovascular System
0206040AEBBAAAA,Naftidrofuryl oxalate,Praxilene 100mg capsules,02: Cardiovascular System
0212000AKAAAAAA,Bempedoic acid,Bempedoic acid 180mg tablets,02: Cardiovascular System
040201060AAAEAE,Olanzapine,Olanzapine 5mg oral lyophilisates sugar free,04: Central Nervous System
0601011P0BBAAAA,Insulin glulisine,Apidra 100units/ml solution for injection 10ml vials,06: Endocrine System
0601022B0BPAAAS,Metformin hydrochloride,Yaltormin SR 500mg tablets,06: Endocrine System
0605010S0BEAHBV,Somatropin,Norditropin NordiFlex 5mg/1.5ml inj pf pens,06: Endocrine System
090401000BBPXA0,Other food for special diet preparations,S.O.S20 oral powder 42g sachets,09: Nutrition and Blood
090401000BBVHA0,Other food for special diet preparations,PKU start powder,09: Nutrition and Blood
090401000BBVZA0,Other food for special diet preparations,PKU explore5 oral powder 12.5g sachets,09: Nutrition and Blood
090401010BJANAC,Low protein mixes,Promin low protein chocolate cake mix,09: Nutrition and Blood
090401010BKAAAA,Low protein mixes,Taranis low protein pancakes and waffles mix,09: Nutrition and Blood
0904010ATBBAEAA,Low protein snacks,Promin low protein Snax,09: Nutrition and Blood
090402000BBRQA0,Enteral nutrition,Peptamen HN liquid,09: Nutrition and Blood
0905041Q0BCAAAA,Zinc sulfate,Zincomed 220mg capsules,09: Nutrition and Blood
1108030AAAAABAB,Carbomer,Carbomer 0.36% eye gel preservative free,11: Eye
1201010E0AAABAB,Betamethasone sodium phosphate,Betamethasone 0.1% / Neomycin 0.5% ear/eye/nose drops,"12: Ear, Nose and Oropharynx"
1203040G0BBAAAA,Hexetidine,Oraldene 0.1% mouthwash peppermint,"12: Ear, Nose and Oropharynx"
1305020C0BDABBC,Tars,Psoriderm cream,13: Skin
131002030AAADAD,Terbinafine hydrochloride,Terbinafine 1% solution,13: Skin
20031700015,Wound Management & Other Dressings,Flaminal Forte gel dressing,20: Dressings
21270000616,Lymphoedema Garments,Jobst Elvarex Soft custom fit class 2 (23-32mmHg) armsleeve wrist to axilla,21: Appliances
21270000814,Lymphoedema Garments,Jobst Elvarex Soft silicone band for lymphoedema garment upper extremities,21: Appliances
21270000913,Lymphoedema Garments,Jobst Elvarex Soft non-standard colour for lymphoedema garment upper extremities,21: Appliances
22501005066,Leg Bags,Simpla Profile sterile leg bag 350ml tube 25cm,22: Incontinence Appliances
23351003839,Colostomy Bags,"SenSura Mio colostomy bag with filter, mini 15-45mm",23: Stoma Appliances
23351003872,Colostomy Bags,"SenSura Mio Concave colostomy bag with filter, midi 10-50mm",23: Stoma Appliances
23353353684,Colostomy Bags,Option Primo colostomy bag with filter and soft covering to both sides 20-60mm opaque,23: Stoma Appliances
23355903609,Colostomy Bags,"Pelican ModaVi firm convex colostomy bag with filter, large 15-60mm neutral",23: Stoma Appliances
23355903612,Colostomy Bags,"Pelican ModaVi firm convex colostomy bag with filter, large 15-60mm black",23: Stoma Appliances
23600706408,Ileostomy Bags,NovaLife 1 ileostomy bag mini opaque 10-38mm,23: Stoma Appliances
23601006235,Ileostomy Bags,"Assura Inspire ileostomy bag with filter and Hide-Away outlet, midi opaque 12-55mm",23: Stoma Appliances
23941010009,Two Piece Ostomy Systems,"SenSura Mio Click two piece ostomy system ileostomy bag with filter, maxi 70mm grey",23: Stoma Appliances
0103030S0AAADAD,Sucralfate,Sucralfate 1g/5ml oral suspension sugar free,01: Gastro-Intestinal System
0106040R0BDAAAF,Sodium citrate (Rectal),Micolette Micro-enema 5ml,01: Gastro-Intestinal System
0205051W0AAAAAA,Imidapril hydrochloride,Imidapril 10mg tablets,02: Cardiovascular System
0205051W0AAABAB,Imidapril hydrochloride,Imidapril 5mg tablets,02: Cardiovascular System
0205052AEBBACAC,Sacubitril/valsartan,Entresto 24mg/26mg tablets,02: Cardiovascular System
0406000U0AAABAB,Prochlorperazine mesilate,Prochlorperazine 12.5mg/1ml solution for injection ampoules,04: Central Nervous System
0407020Q0BHAFDR,Morphine sulfate,Sevredol 50mg tablets,04: Central Nervous System
0601023ARAAACAC,Empagliflozin/metformin,Empagliflozin 12.5mg / Metformin 850mg tablets,06: Endocrine System
0601060W0BDABA0,Ketone blood testing reagents,GlucoMen areo Ketone Sensor testing strips,06: Endocrine System
0703010E0AAACAC,Combined ethinylestradiol 20mcg,Ethinylestradiol 20microgram / Gestodene 75microgram tablets,"07: Obstetrics, Gynaecology and Urinary-Tract Disorders"
0704020AEBBAAAA,Mirabegron,Betmiga 25mg modified-release tablets,"07: Obstetrics, Gynaecology and Urinary-Tract Disorders"
090402000BBRGA0,Enteral nutrition,Fortisip Yogurt Style liquid (3 flavours),09: Nutrition and Blood
0906040G0DIAADN,Colecalciferol,"Thorens 10,000units/ml oral drops",09: Nutrition and Blood
1001010P0AABDBD,Naproxen,Naproxen 250mg effervescent tablets sugar free,10: Musculoskeletal and Joint Diseases
1303000AABFABAB,Menthol,Menthoderm 1% cream,13: Skin
1304000T0AAAAAA,Fludroxycortide,Fludroxycortide 0.0125% cream,13: Skin
21210000017,Dry Mouth Products,BioXtra Dry Mouth Gel Mouthspray,21: Appliances
21300000127,Eye Products,Carmize 0.5% eye drops 0.4ml unit dose preservative free,21: Appliances
23944809550,Two Piece Ostomy Systems,"Combihesive Natura two piece ostomy system urostomy bag with tap, small 32mm clear",23: Stoma Appliances
23944809625,Two Piece Ostomy Systems,Combihesive Natura two piece ostomy system stomahesive flange 32mm,23: Stoma Appliances
0304010G0BJAAAP,Chlorphenamine maleate,Allerief 2mg/5ml oral solution,03: Respiratory System
040702040BTAAAC,Tramadol hydrochloride,Invodol SR 100mg tablets,04: Central Nervous System
0409010N0AAAAAA,Co-careldopa (Carbidopa/levodopa),Co-careldopa 10mg/100mg tablets,04: Central Nervous System
0501030I0AAAMAM,Doxycycline hyclate,Doxycycline 50mg/5ml oral suspension,05: Infections
0704050B0BBABAI,Alprostadil,Caverject 10microgram inj vials,"07: Obstetrics, Gynaecology and Urinary-Tract Disorders"
090401000BBLQA0,Other food for special diet preparations,MSUD express15 oral powder 25g sachets,09: Nutrition and Blood
090401000BBNUA0,Other food for special diet preparations,KeyOmega oral powder 4g sachets,09: Nutrition and Blood
090401010BEAAAA,Low protein mixes,Fate low protein all purpose mix,09: Nutrition and Blood
090401010BIAAAA,Low protein mixes,Loprofin low protein mix,09: Nutrition and Blood
0904010ARBCAAAA,Low protein cooking aids,Mevalia low protein egg replacer,09: Nutrition and Blood
091101000BBTQA0,Other amino acidandnutritional agent preparations,Isoleucine50 oral powder 4g sachets,09: Nutrition and Blood
